mode,development,scenario,value_mode,tts_annual,cost_annual,cost_annual_negative,net_annual
Rail,100000,scenario_1,integrated,7048189.5359754,1329118.6567644724,-1329118.6567644724,5719070.879210928
Rail,100000,scenario_1,standalone_annual_proxy,7637758.917807182,1266829.2297154565,-1266829.2297154565,6370929.688091726
Rail,100000,scenario_10,integrated,7013847.084412595,1329118.6567644724,-1329118.6567644724,5684728.427648123
Rail,100000,scenario_10,standalone_annual_proxy,5603925.615994563,1266829.2297154565,-1266829.2297154565,4337096.386279107
Rail,100000,scenario_100,integrated,4250042.75456093,1329118.6567644724,-1329118.6567644724,2920924.0977964574
Rail,100000,scenario_100,standalone_annual_proxy,3553327.571552547,1266829.2297154565,-1266829.2297154565,2286498.3418370904
Rail,100000,scenario_11,integrated,5334185.209988706,1329118.6567644724,-1329118.6567644724,4005066.5532242334
Rail,100000,scenario_11,standalone_annual_proxy,3786285.7593073794,1266829.2297154565,-1266829.2297154565,2519456.5295919226
Rail,100000,scenario_12,integrated,8676506.691261664,1329118.6567644724,-1329118.6567644724,7347388.034497192
Rail,100000,scenario_12,standalone_annual_proxy,8115404.933559166,1266829.2297154565,-1266829.2297154565,6848575.70384371
Rail,100000,scenario_13,integrated,5478886.08025456,1329118.6567644724,-1329118.6567644724,4149767.423490088
Rail,100000,scenario_13,standalone_annual_proxy,4867944.823957277,1266829.2297154565,-1266829.2297154565,3601115.594241821
Rail,100000,scenario_14,integrated,6039193.58058957,1329118.6567644724,-1329118.6567644724,4710074.923825098
Rail,100000,scenario_14,standalone_annual_proxy,3336527.980026756,1266829.2297154565,-1266829.2297154565,2069698.7503112995
Rail,100000,scenario_15,integrated,4174456.8412865014,1329118.6567644724,-1329118.6567644724,2845338.184522029
Rail,100000,scenario_15,standalone_annual_proxy,2564591.971141019,1266829.2297154565,-1266829.2297154565,1297762.7414255624
Rail,100000,scenario_16,integrated,6528970.255375653,1329118.6567644724,-1329118.6567644724,5199851.59861118
Rail,100000,scenario_16,standalone_annual_proxy,5016838.406427939,1266829.2297154565,-1266829.2297154565,3750009.176712483
Rail,100000,scenario_17,integrated,6607227.124926121,1329118.6567644724,-1329118.6567644724,5278108.468161648
Rail,100000,scenario_17,standalone_annual_proxy,4649809.37945733,1266829.2297154565,-1266829.2297154565,3382980.149741874
Rail,100000,scenario_18,integrated,3442921.536415376,1329118.6567644724,-1329118.6567644724,2113802.8796509034
Rail,100000,scenario_18,standalone_annual_proxy,2840174.3874427094,1266829.2297154565,-1266829.2297154565,1573345.157727253
Rail,100000,scenario_19,integrated,5244557.471540235,1329118.6567644724,-1329118.6567644724,3915438.8147757626
Rail,100000,scenario_19,standalone_annual_proxy,4659658.228342224,1266829.2297154565,-1266829.2297154565,3392828.9986267677
Rail,100000,scenario_2,integrated,3457863.0240525063,1329118.6567644724,-1329118.6567644724,2128744.367288034
Rail,100000,scenario_2,standalone_annual_proxy,2597965.2813327606,1266829.2297154565,-1266829.2297154565,1331136.051617304
Rail,100000,scenario_20,integrated,7421112.927293968,1329118.6567644724,-1329118.6567644724,6091994.270529496
Rail,100000,scenario_20,standalone_annual_proxy,5184951.724208311,1266829.2297154565,-1266829.2297154565,3918122.494492855
Rail,100000,scenario_21,integrated,6679048.930033874,1329118.6567644724,-1329118.6567644724,5349930.273269402
Rail,100000,scenario_21,standalone_annual_proxy,5695934.313301338,1266829.2297154565,-1266829.2297154565,4429105.083585882
Rail,100000,scenario_22,integrated,5448634.240398279,1329118.6567644724,-1329118.6567644724,4119515.583633807
Rail,100000,scenario_22,standalone_annual_proxy,6369695.7959526125,1266829.2297154565,-1266829.2297154565,5102866.566237156
Rail,100000,scenario_23,integrated,3712781.303173833,1329118.6567644724,-1329118.6567644724,2383662.6464093607
Rail,100000,scenario_23,standalone_annual_proxy,2580708.880320435,1266829.2297154565,-1266829.2297154565,1313879.6506049784
Rail,100000,scenario_24,integrated,7089972.180847441,1329118.6567644724,-1329118.6567644724,5760853.524082968
Rail,100000,scenario_24,standalone_annual_proxy,5553181.008077947,1266829.2297154565,-1266829.2297154565,4286351.778362491
Rail,100000,scenario_25,integrated,5533106.676080044,1329118.6567644724,-1329118.6567644724,4203988.019315572
Rail,100000,scenario_25,standalone_annual_proxy,3755184.7941330327,1266829.2297154565,-1266829.2297154565,2488355.5644175764
Rail,100000,scenario_26,integrated,3397582.0365480096,1329118.6567644724,-1329118.6567644724,2068463.3797835372
Rail,100000,scenario_26,standalone_annual_proxy,2052632.606815486,1266829.2297154565,-1266829.2297154565,785803.3771000295
Rail,100000,scenario_27,integrated,4902231.901818218,1329118.6567644724,-1329118.6567644724,3573113.2450537453
Rail,100000,scenario_27,standalone_annual_proxy,3346088.218407482,1266829.2297154565,-1266829.2297154565,2079258.9886920254
Rail,100000,scenario_28,integrated,2453360.185922551,1329118.6567644724,-1329118.6567644724,1124241.5291580786
Rail,100000,scenario_28,standalone_annual_proxy,2642944.6118656574,1266829.2297154565,-1266829.2297154565,1376115.382150201
Rail,100000,scenario_29,integrated,6200374.971368748,1329118.6567644724,-1329118.6567644724,4871256.314604275
Rail,100000,scenario_29,standalone_annual_proxy,4701367.050511977,1266829.2297154565,-1266829.2297154565,3434537.8207965204
Rail,100000,scenario_3,integrated,5924051.5209615575,1329118.6567644724,-1329118.6567644724,4594932.864197085
Rail,100000,scenario_3,standalone_annual_proxy,3850417.2484519472,1266829.2297154565,-1266829.2297154565,2583588.018736491
Rail,100000,scenario_30,integrated,5673049.788770404,1329118.6567644724,-1329118.6567644724,4343931.132005932
Rail,100000,scenario_30,standalone_annual_proxy,5358250.914831433,1266829.2297154565,-1266829.2297154565,4091421.685115977
Rail,100000,scenario_31,integrated,6473401.5259183645,1329118.6567644724,-1329118.6567644724,5144282.869153893
Rail,100000,scenario_31,standalone_annual_proxy,4944682.621868719,1266829.2297154565,-1266829.2297154565,3677853.392153263
Rail,100000,scenario_32,integrated,6869802.013694231,1329118.6567644724,-1329118.6567644724,5540683.356929759
Rail,100000,scenario_32,standalone_annual_proxy,7126729.359687669,1266829.2297154565,-1266829.2297154565,5859900.129972213
Rail,100000,scenario_33,integrated,4902437.416934113,1329118.6567644724,-1329118.6567644724,3573318.7601696406
Rail,100000,scenario_33,standalone_annual_proxy,4434149.055407162,1266829.2297154565,-1266829.2297154565,3167319.8256917056
Rail,100000,scenario_34,integrated,7985397.075023492,1329118.6567644724,-1329118.6567644724,6656278.418259019
Rail,100000,scenario_34,standalone_annual_proxy,5968930.91788041,1266829.2297154565,-1266829.2297154565,4702101.688164954
Rail,100000,scenario_35,integrated,6531004.166422132,1329118.6567644724,-1329118.6567644724,5201885.5096576605
Rail,100000,scenario_35,standalone_annual_proxy,5191925.4204402175,1266829.2297154565,-1266829.2297154565,3925096.190724761
Rail,100000,scenario_36,integrated,5500348.133359075,1329118.6567644724,-1329118.6567644724,4171229.476594602
Rail,100000,scenario_36,standalone_annual_proxy,5840363.188465287,1266829.2297154565,-1266829.2297154565,4573533.958749831
Rail,100000,scenario_37,integrated,7949876.624757127,1329118.6567644724,-1329118.6567644724,6620757.967992654
Rail,100000,scenario_37,standalone_annual_proxy,6462546.365105012,1266829.2297154565,-1266829.2297154565,5195717.135389556
Rail,100000,scenario_38,integrated,6254209.0801102165,1329118.6567644724,-1329118.6567644724,4925090.423345745
Rail,100000,scenario_38,standalone_annual_proxy,4927214.514393641,1266829.2297154565,-1266829.2297154565,3660385.2846781844
Rail,100000,scenario_39,integrated,5556741.493155604,1329118.6567644724,-1329118.6567644724,4227622.836391132
Rail,100000,scenario_39,standalone_annual_proxy,5149863.669082595,1266829.2297154565,-1266829.2297154565,3883034.439367139
Rail,100000,scenario_4,integrated,4264556.368871007,1329118.6567644724,-1329118.6567644724,2935437.7121065347
Rail,100000,scenario_4,standalone_annual_proxy,3969922.304990268,1266829.2297154565,-1266829.2297154565,2703093.075274811
Rail,100000,scenario_40,integrated,6415206.147488631,1329118.6567644724,-1329118.6567644724,5086087.490724159
Rail,100000,scenario_40,standalone_annual_proxy,3968325.138555774,1266829.2297154565,-1266829.2297154565,2701495.9088403173
Rail,100000,scenario_41,integrated,7010010.418007884,1329118.6567644724,-1329118.6567644724,5680891.761243412
Rail,100000,scenario_41,standalone_annual_proxy,4824528.7059515035,1266829.2297154565,-1266829.2297154565,3557699.476236047
Rail,100000,scenario_42,integrated,8112709.324656548,1329118.6567644724,-1329118.6567644724,6783590.667892076
Rail,100000,scenario_42,standalone_annual_proxy,5570316.63625275,1266829.2297154565,-1266829.2297154565,4303487.406537293
Rail,100000,scenario_43,integrated,5730875.114427988,1329118.6567644724,-1329118.6567644724,4401756.457663516
