mode,vtt_chf_per_hour,base_vtt_chf_per_hour,mean_net_benefit_rows,median_net_benefit_rows,share_positive_rows,mean_net_benefit_developments,median_net_benefit_developments,share_positive_developments,positive_developments,total_developments,total_rows
Rail,15.19,15.2,-5796765.46507847,-5865023.438740965,0.2064102564102564,-5796765.465078469,-5818793.704886841,0.20512820512820512,8,39,780
Rail,15.44125,15.2,-5728067.785010088,-5781954.713091323,0.20897435897435898,-5728067.785010089,-5742107.29754846,0.20512820512820512,8,39,780
Rail,15.692499999999999,15.2,-5659370.104941705,-5705916.677041222,0.21153846153846154,-5659370.104941706,-5665420.890210079,0.20512820512820512,8,39,780
Rail,15.94375,15.2,-5590672.424873322,-5629878.64099112,0.2141025641025641,-5590672.424873321,-5588734.482871697,0.23076923076923078,9,39,780
Rail,16.195,15.2,-5521974.74480494,-5553840.604941018,0.21923076923076923,-5521974.74480494,-5512048.0755333165,0.23076923076923078,9,39,780
Rail,16.44625,15.2,-5453277.064736557,-5477802.568890917,0.2230769230769231,-5453277.064736557,-5435361.668194936,0.23076923076923078,9,39,780
Rail,16.697499999999998,15.2,-5384579.384668176,-5401764.532840816,0.22692307692307692,-5384579.384668175,-5358675.260856555,0.23076923076923078,9,39,780
Rail,16.94875,15.2,-5315881.704599792,-5325726.496790714,0.23076923076923078,-5315881.704599793,-5281988.853518173,0.23076923076923078,9,39,780
Rail,17.2,15.2,-5247184.02453141,-5249688.460740612,0.23461538461538461,-5247184.02453141,-5205302.446179792,0.23076923076923078,9,39,780
Rail,17.451249999999998,15.2,-5178486.344463028,-5173650.424690511,0.23717948717948717,-5178486.344463028,-5128616.0388414115,0.23076923076923078,9,39,780
Rail,17.7025,15.2,-5109788.664394644,-5090052.251679543,0.24358974358974358,-5109788.664394643,-5051929.63150303,0.23076923076923078,9,39,780
Rail,17.95375,15.2,-5041090.984326262,-4994934.688592524,0.24358974358974358,-5041090.984326263,-4975243.224164649,0.23076923076923078,9,39,780
Rail,18.205,15.2,-4972393.30425788,-4910540.167127829,0.25,-4972393.30425788,-4898556.816826268,0.23076923076923078,9,39,780
Rail,18.456249999999997,15.2,-4903695.624189497,-4822731.909730626,0.2564102564102564,-4903695.624189498,-4821870.409487887,0.23076923076923078,9,39,780
Rail,18.7075,15.2,-4834997.944121114,-4724298.036845196,0.2602564102564103,-4834997.944121115,-4745184.002149506,0.23076923076923078,9,39,780
Rail,18.95875,15.2,-4766300.264052732,-4626721.735237801,0.2641025641025641,-4766300.264052733,-4668497.594811125,0.23076923076923078,9,39,780
Rail,19.21,15.2,-4697602.583984349,-4541725.129713835,0.2717948717948718,-4697602.583984348,-4591811.187472744,0.2564102564102564,10,39,780
Rail,19.46125,15.2,-4628904.903915967,-4456941.448933412,0.27692307692307694,-4628904.903915967,-4515124.780134363,0.28205128205128205,11,39,780
Rail,19.7125,15.2,-4560207.223847584,-4372157.768152989,0.2794871794871795,-4560207.223847585,-4438438.372795982,0.28205128205128205,11,39,780
Rail,19.963749999999997,15.2,-4491509.543779202,-4287478.61902163,0.28717948717948716,-4491509.543779202,-4361751.9654576015,0.28205128205128205,11,39,780
Rail,20.215,15.2,-4422811.863710819,-4189279.814104608,0.28846153846153844,-4422811.863710819,-4285065.55811922,0.3076923076923077,12,39,780
Rail,20.46625,15.2,-4354114.183642437,-4086065.623648863,0.2923076923076923,-4354114.183642437,-4208379.150780839,0.3076923076923077,12,39,780
Rail,20.7175,15.2,-4285416.503574054,-4000892.279304356,0.2935897435897436,-4285416.503574053,-4131692.7434424562,0.3076923076923077,12,39,780
Rail,20.96875,15.2,-4216718.823505671,-3915718.9349598503,0.29743589743589743,-4216718.823505672,-4055006.3361040754,0.3076923076923077,12,39,780
Rail,21.22,15.2,-4148021.143437289,-3830545.5906153442,0.3038461538461538,-4148021.1434372887,-3978319.9287656946,0.3333333333333333,13,39,780
Rail,21.471249999999998,15.2,-4079323.463368906,-3745372.2462708387,0.30641025641025643,-4079323.4633689057,-3901633.5214273147,0.3333333333333333,13,39,780
Rail,21.722499999999997,15.2,-4010625.7833005246,-3660198.901926333,0.3128205128205128,-4010625.783300524,-3824947.114088934,0.3333333333333333,13,39,780
Rail,21.97375,15.2,-3941928.103232141,-3575025.557581826,0.31794871794871793,-3941928.1032321407,-3748260.7067505517,0.3333333333333333,13,39,780
Rail,22.224999999999998,15.2,-3873230.423163758,-3489852.21323732,0.3217948717948718,-3873230.4231637577,-3671574.299412171,0.3333333333333333,13,39,780
Rail,22.47625,15.2,-3804532.743095375,-3404678.868892813,0.3269230769230769,-3804532.743095375,-3594887.892073789,0.3333333333333333,13,39,780
Rail,22.7275,15.2,-3735835.0630269945,-3319505.524548309,0.33076923076923076,-3735835.0630269945,-3518201.4847354097,0.3333333333333333,13,39,780
Rail,22.978749999999998,15.2,-3667137.3829586115,-3193177.583458488,0.33589743589743587,-3667137.3829586115,-3441515.077397029,0.3333333333333333,13,39,780
Rail,23.229999999999997,15.2,-3598439.7028902294,-3055901.3570969244,0.3423076923076923,-3598439.7028902294,-3364828.670058648,0.3333333333333333,13,39,780
Rail,23.48125,15.2,-3529742.0228218464,-2947614.3282725397,0.3435897435897436,-3529742.022821847,-3288142.2627202664,0.3333333333333333,13,39,780
Rail,23.732499999999998,15.2,-3461044.3427534644,-2828390.5927326456,0.35128205128205126,-3461044.342753464,-3211455.8553818855,0.358974358974359,14,39,780
Rail,23.98375,15.2,-3392346.662685081,-2703925.0602788404,0.35384615384615387,-3392346.6626850804,-3134769.448043504,0.358974358974359,14,39,780
