mode_rail,vtt_chf_per_hour_rail,base_vtt_chf_per_hour_rail,mean_net_benefit_rows_rail,median_net_benefit_rows_rail,share_positive_rows_rail,mean_net_benefit_developments_rail,median_net_benefit_developments_rail,share_positive_developments_rail,positive_developments_rail,total_developments_rail,total_rows_rail,mode_road,vtt_chf_per_hour_road,base_vtt_chf_per_hour_road,mean_net_benefit_rows_road,median_net_benefit_rows_road,share_positive_rows_road,mean_net_benefit_developments_road,median_net_benefit_developments_road,share_positive_developments_road,positive_developments_road,total_developments_road,total_rows_road,combined_mean_net_benefit_developments,delta_mean_net_benefit_developments,delta_share_positive_developments
Rail,20.215,15.2,-4422811.863710819,-4189279.814104608,0.28846153846153844,-4422811.863710819,-4285065.55811922,0.3076923076923077,12,39,780,Road,30.7175,31.4,-1154701712.9356499,-1063287227.287255,0.026570048309178744,-1154701712.9356494,-1075376018.2760706,0.021739130434782608,3,138,414,-1159124524.7993603,1150278901.0719385,0.2859531772575251
Rail,20.215,15.2,-4422811.863710819,-4189279.814104608,0.28846153846153844,-4422811.863710819,-4285065.55811922,0.3076923076923077,12,39,780,Road,30.831249999999997,31.4,-1155079682.6448035,-1063700134.8588054,0.026570048309178744,-1155079682.6448038,-1077074988.7271862,0.021739130434782608,3,138,414,-1159502494.5085146,1150656870.781093,0.2859531772575251
Rail,20.215,15.2,-4422811.863710819,-4189279.814104608,0.28846153846153844,-4422811.863710819,-4285065.55811922,0.3076923076923077,12,39,780,Road,30.945,31.4,-1155457652.3539574,-1064113042.4303558,0.026570048309178744,-1155457652.3539572,-1078773959.178302,0.021739130434782608,3,138,414,-1159880464.217668,1151034840.4902463,0.2859531772575251
Rail,20.215,15.2,-4422811.863710819,-4189279.814104608,0.28846153846153844,-4422811.863710819,-4285065.55811922,0.3076923076923077,12,39,780,Road,31.05875,31.4,-1155835622.0631113,-1064525950.0019062,0.026570048309178744,-1155835622.0631113,-1080472929.629418,0.021739130434782608,3,138,414,-1160258433.9268222,1151412810.1994004,0.2859531772575251
Rail,20.215,15.2,-4422811.863710819,-4189279.814104608,0.28846153846153844,-4422811.863710819,-4285065.55811922,0.3076923076923077,12,39,780,Road,31.1725,31.4,-1156213591.772265,-1064938857.5734565,0.026570048309178744,-1156213591.772265,-1082171900.0805335,0.021739130434782608,3,138,414,-1160636403.6359758,1151790779.908554,0.2859531772575251
Rail,20.215,15.2,-4422811.863710819,-4189279.814104608,0.28846153846153844,-4422811.863710819,-4285065.55811922,0.3076923076923077,12,39,780,Road,31.28625,31.4,-1156591561.4814188,-1065351765.1450069,0.026570048309178744,-1156591561.4814188,-1083870870.5316494,0.021739130434782608,3,138,414,-1161014373.3451297,1152168749.617708,0.2859531772575251
Rail,20.215,15.2,-4422811.863710819,-4189279.814104608,0.28846153846153844,-4422811.863710819,-4285065.55811922,0.3076923076923077,12,39,780,Road,31.4,31.4,-1156969531.1905727,-1065764672.7165573,0.026570048309178744,-1156969531.1905725,-1085569840.9827652,0.021739130434782608,3,138,414,-1161392343.0542834,1152546719.3268616,0.2859531772575251
Rail,20.46625,15.2,-4354114.183642437,-4086065.623648863,0.2923076923076923,-4354114.183642437,-4208379.150780839,0.3076923076923077,12,39,780,Road,26.85,31.4,-1141850742.8244197,-1055142737.048475,0.021739130434782608,-1141850742.8244197,-1017611022.9381344,0.014492753623188406,2,138,414,-1146204857.0080621,1137496628.6407773,0.2931995540691193
Rail,20.46625,15.2,-4354114.183642437,-4086065.623648863,0.2923076923076923,-4354114.183642437,-4208379.150780839,0.3076923076923077,12,39,780,Road,26.96375,31.4,-1142228712.5335739,-1056650121.3639016,0.021739130434782608,-1142228712.5335739,-1019309993.3892503,0.014492753623188406,2,138,414,-1146582826.7172163,1137874598.3499315,0.2931995540691193
Rail,20.46625,15.2,-4354114.183642437,-4086065.623648863,0.2923076923076923,-4354114.183642437,-4208379.150780839,0.3076923076923077,12,39,780,Road,27.0775,31.4,-1142606682.2427273,-1056646178.2519085,0.021739130434782608,-1142606682.2427273,-1021008963.840366,0.014492753623188406,2,138,414,-1146960796.4263697,1138252568.059085,0.2931995540691193
Rail,20.46625,15.2,-4354114.183642437,-4086065.623648863,0.2923076923076923,-4354114.183642437,-4208379.150780839,0.3076923076923077,12,39,780,Road,27.19125,31.4,-1142984651.9518814,-1058097196.4290655,0.021739130434782608,-1142984651.9518814,-1022707934.2914817,0.014492753623188406,2,138,414,-1147338766.1355238,1138630537.768239,0.2931995540691193
Rail,20.46625,15.2,-4354114.183642437,-4086065.623648863,0.2923076923076923,-4354114.183642437,-4208379.150780839,0.3076923076923077,12,39,780,Road,27.305,31.4,-1143362621.661035,-1060072789.6978059,0.021739130434782608,-1143362621.661035,-1024406904.7425975,0.014492753623188406,2,138,414,-1147716735.8446774,1139008507.4773927,0.2931995540691193
Rail,20.46625,15.2,-4354114.183642437,-4086065.623648863,0.2923076923076923,-4354114.183642437,-4208379.150780839,0.3076923076923077,12,39,780,Road,27.418750000000003,31.4,-1143740591.370189,-1061460866.1354997,0.021739130434782608,-1143740591.370189,-1026105875.1937134,0.014492753623188406,2,138,414,-1148094705.5538313,1139386477.1865466,0.2931995540691193
Rail,20.46625,15.2,-4354114.183642437,-4086065.623648863,0.2923076923076923,-4354114.183642437,-4208379.150780839,0.3076923076923077,12,39,780,Road,27.532500000000002,31.4,-1144118561.0793428,-1062629966.0333118,0.021739130434782608,-1144118561.0793428,-1027804845.644829,0.014492753623188406,2,138,414,-1148472675.2629852,1139764446.8957005,0.2931995540691193
Rail,20.46625,15.2,-4354114.183642437,-4086065.623648863,0.2923076923076923,-4354114.183642437,-4208379.150780839,0.3076923076923077,12,39,780,Road,27.646250000000002,31.4,-1144496530.7884967,-1063493923.6835575,0.021739130434782608,-1144496530.7884965,-1029503816.0959449,0.014492753623188406,2,138,414,-1148850644.972139,1140142416.604854,0.2931995540691193
Rail,20.46625,15.2,-4354114.183642437,-4086065.623648863,0.2923076923076923,-4354114.183642437,-4208379.150780839,0.3076923076923077,12,39,780,Road,27.76,31.4,-1144874500.4976504,-1063915943.2233078,0.021739130434782608,-1144874500.4976506,-1031202786.5470607,0.014492753623188406,2,138,414,-1149228614.681293,1140520386.3140082,0.2931995540691193
Rail,20.46625,15.2,-4354114.183642437,-4086065.623648863,0.2923076923076923,-4354114.183642437,-4208379.150780839,0.3076923076923077,12,39,780,Road,27.87375,31.4,-1145252470.2068043,-1063568489.858017,0.021739130434782608,-1145252470.206804,-1032901756.9981763,0.014492753623188406,2,138,414,-1149606584.3904464,1140898356.0231616,0.2931995540691193
Rail,20.46625,15.2,-4354114.183642437,-4086065.623648863,0.2923076923076923,-4354114.183642437,-4208379.150780839,0.3076923076923077,12,39,780,Road,27.9875,31.4,-1145630439.9159582,-1063221036.492726,0.021739130434782608,-1145630439.9159582,-1034600727.4492922,0.014492753623188406,2,138,414,-1149984554.0996006,1141276325.7323158,0.2931995540691193
Rail,20.46625,15.2,-4354114.183642437,-4086065.623648863,0.2923076923076923,-4354114.183642437,-4208379.150780839,0.3076923076923077,12,39,780,Road,28.10125,31.4,-1146008409.6251118,-1062873583.1274351,0.021739130434782608,-1146008409.6251118,-1036299697.9004079,0.014492753623188406,2,138,414,-1150362523.8087542,1141654295.4414694,0.2931995540691193
Rail,20.46625,15.2,-4354114.183642437,-4086065.623648863,0.2923076923076923,-4354114.183642437,-4208379.150780839,0.3076923076923077,12,39,780,Road,28.215,31.4,-1146386379.3342657,-1062526129.7621442,0.021739130434782608,-1146386379.3342657,-1037998668.3515236,0.014492753623188406,2,138,414,-1150740493.517908,1142032265.1506233,0.2931995540691193
Rail,20.46625,15.2,-4354114.183642437,-4086065.623648863,0.2923076923076923,-4354114.183642437,-4208379.150780839,0.3076923076923077,12,39,780,Road,28.32875,31.4,-1146764349.0434196,-1062178676.3968532,0.021739130434782608,-1146764349.0434194,-1039697638.8026395,0.014492753623188406,2,138,414,-1151118463.2270617,1142410234.859777,0.2931995540691193
Rail,20.46625,15.2,-4354114.183642437,-4086065.623648863,0.2923076923076923,-4354114.183642437,-4208379.150780839,0.3076923076923077,12,39,780,Road,28.4425,31.4,-1147142318.7525733,-1061831223.0315624,0.021739130434782608,-1147142318.7525735,-1041396609.2537553,0.014492753623188406,2,138,414,-1151496432.9362159,1142788204.568931,0.2931995540691193
Rail,20.46625,15.2,-4354114.183642437,-4086065.623648863,0.2923076923076923,-4354114.183642437,-4208379.150780839,0.3076923076923077,12,39,780,Road,28.55625,31.4,-1147520288.4617271,-1061483769.6662714,0.021739130434782608,-1147520288.4617271,-1043095579.7048708,0.014492753623188406,2,138,414,-1151874402.6453695,1143166174.2780848,0.2931995540691193
Rail,20.46625,15.2,-4354114.183642437,-4086065.623648863,0.2923076923076923,-4354114.183642437,-4208379.150780839,0.3076923076923077,12,39,780,Road,28.67,31.4,-1147898258.170881,-1061136316.3009806,0.021739130434782608,-1147898258.1708813,-1044794550.1559868,0.014492753623188406,2,138,414,-1152252372.3545237,1143544143.987239,0.2931995540691193
Rail,20.46625,15.2,-4354114.183642437,-4086065.623648863,0.2923076923076923,-4354114.183642437,-4208379.150780839,0.3076923076923077,12,39,780,Road,28.78375,31.4,-1148276227.880035,-1060788862.9356897,0.021739130434782608,-1148276227.8800347,-1046493520.6071025,0.014492753623188406,2,138,414,-1152630342.063677,1143922113.6963923,0.2931995540691193
Rail,20.46625,15.2,-4354114.183642437,-4086065.623648863,0.2923076923076923,-4354114.183642437,-4208379.150780839,0.3076923076923077,12,39,780,Road,28.8975,31.4,-1148654197.5891886,-1060441409.5703988,0.024154589371980676,-1148654197.5891886,-1048192491.0582184,0.021739130434782608,3,138,414,-1153008311.772831,1144300083.4055462,0.2859531772575251
Rail,20.46625,15.2,-4354114.183642437,-4086065.623648863,0.2923076923076923,-4354114.183642437,-4208379.150780839,0.3076923076923077,12,39,780,Road,29.01125,31.4,-1149032167.2983425,-1060093956.2051079,0.024154589371980676,-1149032167.2983425,-1049891461.5093341,0.021739130434782608,3,138,414,-1153386281.4819849,1144678053.1147,0.2859531772575251
Rail,20.46625,15.2,-4354114.183642437,-4086065.623648863,0.2923076923076923,-4354114.183642437,-4208379.150780839,0.3076923076923077,12,39,780,Road,29.125,31.4,-1149410137.0074964,-1059746502.839817,0.024154589371980676,-1149410137.0074964,-1051590431.9604497,0.021739130434782608,3,138,414,-1153764251.1911387,1145056022.823854,0.2859531772575251
Rail,20.46625,15.2,-4354114.183642437,-4086065.623648863,0.2923076923076923,-4354114.183642437,-4208379.150780839,0.3076923076923077,12,39,780,Road,29.23875,31.4,-1149788106.71665,-1059030890.2203157,0.024154589371980676,-1149788106.71665,-1053289402.4115655,0.021739130434782608,3,138,414,-1154142220.9002924,1145433992.5330076,0.2859531772575251
Rail,20.46625,15.2,-4354114.183642437,-4086065.623648863,0.2923076923076923,-4354114.183642437,-4208379.150780839,0.3076923076923077,12,39,780,Road,29.3525,31.4,-1150166076.425804,-1058332336.4286506,0.024154589371980676,-1150166076.425804,-1054988372.8626813,0.021739130434782608,3,138,414,-1154520190.6094463,1145811962.2421615,0.2859531772575251
Rail,20.46625,15.2,-4354114.183642437,-4086065.623648863,0.2923076923076923,-4354114.183642437,-4208379.150780839,0.3076923076923077,12,39,780,Road,29.46625,31.4,-1150544046.1349576,-1058745244.000201,0.024154589371980676,-1150544046.1349578,-1056687343.313797,0.021739130434782608,3,138,414,-1154898160.3186002,1146189931.9513154,0.2859531772575251
Rail,20.46625,15.2,-4354114.183642437,-4086065.623648863,0.2923076923076923,-4354114.183642437,-4208379.150780839,0.3076923076923077,12,39,780,Road,29.58,31.4,-1150922015.8441114,-1059158151.5717514,0.024154589371980676,-1150922015.8441114,-1058386313.7649128,0.021739130434782608,3,138,414,-1155276130.0277538,1146567901.660469,0.2859531772575251
Rail,20.46625,15.2,-4354114.183642437,-4086065.623648863,0.2923076923076923,-4354114.183642437,-4208379.150780839,0.3076923076923077,12,39,780,Road,29.69375,31.4,-1151299985.5532653,-1059571059.1433018,0.024154589371980676,-1151299985.5532656,-1060085284.2160287,0.021739130434782608,3,138,414,-1155654099.736908,1146945871.3696232,0.2859531772575251
Rail,20.46625,15.2,-4354114.183642437,-4086065.623648863,0.2923076923076923,-4354114.183642437,-4208379.150780839,0.3076923076923077,12,39,780,Road,29.8075,31.4,-1151677955.2624192,-1059983966.7148521,0.024154589371980676,-1151677955.2624192,-1061784254.6671443,0.021739130434782608,3,138,414,-1156032069.4460616,1147323841.0787768,0.2859531772575251
Rail,20.46625,15.2,-4354114.183642437,-4086065.623648863,0.2923076923076923,-4354114.183642437,-4208379.150780839,0.3076923076923077,12,39,780,Road,29.92125,31.4,-1152055924.9715729,-1060396874.2864025,0.024154589371980676,-1152055924.9715729,-1063483225.1182601,0.021739130434782608,3,138,414,-1156410039.1552153,1147701810.7879305,0.2859531772575251
Rail,20.46625,15.2,-4354114.183642437,-4086065.623648863,0.2923076923076923,-4354114.183642437,-4208379.150780839,0.3076923076923077,12,39,780,Road,30.035,31.4,-1152433894.6807268,-1060809781.857953,0.024154589371980676,-1152433894.6807268,-1065182195.569376,0.021739130434782608,3,138,414,-1156788008.8643692,1148079780.4970844,0.2859531772575251
Rail,20.46625,15.2,-4354114.183642437,-4086065.623648863,0.2923076923076923,-4354114.183642437,-4208379.150780839,0.3076923076923077,12,39,780,Road,30.14875,31.4,-1152811864.3898804,-1061222689.4295032,0.024154589371980676,-1152811864.3898807,-1066881166.0204918,0.021739130434782608,3,138,414,-1157165978.573523,1148457750.2062383,0.2859531772575251
Rail,20.46625,15.2,-4354114.183642437,-4086065.623648863,0.2923076923076923,-4354114.183642437,-4208379.150780839,0.3076923076923077,12,39,780,Road,30.2625,31.4,-1153189834.0990345,-1061635597.0010536,0.026570048309178744,-1153189834.0990343,-1068580136.4716074,0.021739130434782608,3,138,414,-1157543948.2826767,1148835719.915392,0.2859531772575251
Rail,20.46625,15.2,-4354114.183642437,-4086065.623648863,0.2923076923076923,-4354114.183642437,-4208379.150780839,0.3076923076923077,12,39,780,Road,30.37625,31.4,-1153567803.8081884,-1062048504.572604,0.026570048309178744,-1153567803.8081882,-1070279106.9227232,0.021739130434782608,3,138,414,-1157921917.9918306,1149213689.6245458,0.2859531772575251
Rail,20.46625,15.2,-4354114.183642437,-4086065.623648863,0.2923076923076923,-4354114.183642437,-4208379.150780839,0.3076923076923077,12,39,780,Road,30.49,31.4,-1153945773.517342,-1062461412.1441543,0.026570048309178744,-1153945773.5173423,-1071978077.373839,0.021739130434782608,3,138,414,-1158299887.7009847,1149591659.3337,0.2859531772575251
Rail,20.46625,15.2,-4354114.183642437,-4086065.623648863,0.2923076923076923,-4354114.183642437,-4208379.150780839,0.3076923076923077,12,39,780,Road,30.603749999999998,31.4,-1154323743.226496,-1062874319.7157047,0.026570048309178744,-1154323743.2264957,-1073677047.8249547,0.021739130434782608,3,138,414,-1158677857.4101381,1149969629.0428534,0.2859531772575251
Rail,20.46625,15.2,-4354114.183642437,-4086065.623648863,0.2923076923076923,-4354114.183642437,-4208379.150780839,0.3076923076923077,12,39,780,Road,30.7175,31.4,-1154701712.9356499,-1063287227.287255,0.026570048309178744,-1154701712.9356494,-1075376018.2760706,0.021739130434782608,3,138,414,-1159055827.1192918,1150347598.752007,0.2859531772575251
Rail,20.46625,15.2,-4354114.183642437,-4086065.623648863,0.2923076923076923,-4354114.183642437,-4208379.150780839,0.3076923076923077,12,39,780,Road,30.831249999999997,31.4,-1155079682.6448035,-1063700134.8588054,0.026570048309178744,-1155079682.6448038,-1077074988.7271862,0.021739130434782608,3,138,414,-1159433796.8284461,1150725568.4611614,0.2859531772575251
Rail,20.46625,15.2,-4354114.183642437,-4086065.623648863,0.2923076923076923,-4354114.183642437,-4208379.150780839,0.3076923076923077,12,39,780,Road,30.945,31.4,-1155457652.3539574,-1064113042.4303558,0.026570048309178744,-1155457652.3539572,-1078773959.178302,0.021739130434782608,3,138,414,-1159811766.5375996,1151103538.1703148,0.2859531772575251
Rail,20.46625,15.2,-4354114.183642437,-4086065.623648863,0.2923076923076923,-4354114.183642437,-4208379.150780839,0.3076923076923077,12,39,780,Road,31.05875,31.4,-1155835622.0631113,-1064525950.0019062,0.026570048309178744,-1155835622.0631113,-1080472929.629418,0.021739130434782608,3,138,414,-1160189736.2467537,1151481507.879469,0.2859531772575251
Rail,20.46625,15.2,-4354114.183642437,-4086065.623648863,0.2923076923076923,-4354114.183642437,-4208379.150780839,0.3076923076923077,12,39,780,Road,31.1725,31.4,-1156213591.772265,-1064938857.5734565,0.026570048309178744,-1156213591.772265,-1082171900.0805335,0.021739130434782608,3,138,414,-1160567705.9559073,1151859477.5886226,0.2859531772575251
Rail,20.46625,15.2,-4354114.183642437,-4086065.623648863,0.2923076923076923,-4354114.183642437,-4208379.150780839,0.3076923076923077,12,39,780,Road,31.28625,31.4,-1156591561.4814188,-1065351765.1450069,0.026570048309178744,-1156591561.4814188,-1083870870.5316494,0.021739130434782608,3,138,414,-1160945675.6650612,1152237447.2977765,0.2859531772575251
Rail,20.46625,15.2,-4354114.183642437,-4086065.623648863,0.2923076923076923,-4354114.183642437,-4208379.150780839,0.3076923076923077,12,39,780,Road,31.4,31.4,-1156969531.1905727,-1065764672.7165573,0.026570048309178744,-1156969531.1905725,-1085569840.9827652,0.021739130434782608,3,138,414,-1161323645.374215,1152615417.00693,0.2859531772575251
Rail,20.7175,15.2,-4285416.503574054,-4000892.279304356,0.2935897435897436,-4285416.503574053,-4131692.7434424562,0.3076923076923077,12,39,780,Road,26.85,31.4,-1141850742.8244197,-1055142737.048475,0.021739130434782608,-1141850742.8244197,-1017611022.9381344,0.014492753623188406,2,138,414,-1146136159.3279939,1137565326.3208456,0.2931995540691193
Rail,20.7175,15.2,-4285416.503574054,-4000892.279304356,0.2935897435897436,-4285416.503574053,-4131692.7434424562,0.3076923076923077,12,39,780,Road,26.96375,31.4,-1142228712.5335739,-1056650121.3639016,0.021739130434782608,-1142228712.5335739,-1019309993.3892503,0.014492753623188406,2,138,414,-1146514129.037148,1137943296.0299997,0.2931995540691193
