run,case,case_type,scenario,source,n_links,total_flow,mean_link_tt_min_unweighted,median_link_tt_min_unweighted,p95_link_tt_min_unweighted,max_link_tt_min,mean_delay_min_unweighted,p95_delay_min_unweighted,max_delay_min,flow_weighted_link_tt_min,flow_weighted_delay_min,edge_max_delay
8iter_5scen_4dev_test_1547628,dev669,development,scenario_44,used_links,58,143144.95717689898,2.513095382596593,1.856827689816582,6.506738639407418,18.47193153455641,0.9833896904837592,2.1931547714222748,13.432263678346668,2.918249178829593,1.2560661220162768,178
8iter_5scen_4dev_test_1547628,dev670,development,scenario_44,all_links,177,144090.16787815426,2.555996385144706,1.8714941270274699,6.252020621303762,27.199114537306937,0.326879939263843,1.2771494289601573,13.639803182058358,2.9422883877141035,1.2756397846743246,178
8iter_5scen_4dev_test_1547628,dev670,development,scenario_44,used_links,58,144090.1678781543,2.538388843773892,1.8905691924383552,6.542192845810468,18.6794710382681,0.9975474008569002,2.2273011180607867,13.639803182058358,2.9422883877141035,1.2756397846743246,178
8iter_5scen_4dev_test_1547628,dev673,development,scenario_44,all_links,177,143506.610655443,2.5457089205936767,1.8654811146075134,6.240868583656354,27.199114537306937,0.3238596524636119,1.2685572072763747,13.54862779495037,2.925824741832191,1.2663004472114796,178
8iter_5scen_4dev_test_1547628,dev673,development,scenario_44,used_links,58,143506.61065544302,2.506994339885406,1.8616702234986713,6.526616205588806,18.588295651160113,0.9883303187251606,2.2122990799267024,13.54862779495037,2.925824741832191,1.2663004472114796,178
8iter_5scen_4dev_test_1547628,dev678,development,scenario_44,all_links,177,146029.76424638473,2.566224785309556,1.8792051974566917,6.264367183872011,27.199114537306937,0.3352289247375113,1.3016346614892138,13.903142322158754,2.966438304580176,1.3001606556437193,178
8iter_5scen_4dev_test_1547628,dev678,development,scenario_44,used_links,58,146029.76424638473,2.569603099449384,1.9268119741148548,6.586464758908594,18.942810178368497,1.0230262013541296,2.2699398976124496,13.903142322158754,2.966438304580176,1.3001606556437193,178
8iter_5scen_4dev_test_1547628,dev680,development,scenario_44,all_links,177,143562.70853927667,2.5698822479803107,1.8714941270274699,6.249217754789596,27.199114537306937,0.32452442313841456,1.2750108009905607,13.618343759323292,2.949967043922075,1.2734172011563132,178
8iter_5scen_4dev_test_1547628,dev680,development,scenario_44,used_links,58,143562.70853927667,2.5807646665653072,1.8849073704836836,6.538277934055246,18.658011615533034,0.9903590154396444,2.2235306223307947,13.618343759323292,2.949967043922075,1.2734172011563132,178
8iter_5scen_4dev_test_1547628,dev682,development,scenario_44,all_links,177,144996.381901195,2.5966862024111683,1.8780029321795946,6.339851262252546,27.199114537306937,0.33183205695040685,1.2987254241673205,13.871551957972152,2.9886430158669364,1.2978928792142856,178
8iter_5scen_4dev_test_1547628,dev682,development,scenario_44,used_links,58,144996.38190119498,2.6625629412939578,1.8960463277408648,6.968656460714257,18.911219814181894,1.0126598979348622,2.2648904123820963,13.871551957972152,2.9886430158669364,1.2978928792142856,178
8iter_5scen_4dev_test_1547628,dev689,development,scenario_44,all_links,177,146058.1374444195,2.5719637407938403,1.8829658666168285,6.267302506895317,27.199114537306937,0.33536188829485664,1.3106958073582435,13.998505971547445,2.9830595724067708,1.3074299164661192,178
8iter_5scen_4dev_test_1547628,dev689,development,scenario_44,used_links,58,146058.1374444195,2.587116808427285,1.8985334442991628,6.602864441949127,19.038173827757188,1.0234319694515452,2.285734617581575,13.998505971547445,2.9830595724067708,1.3074299164661192,178
8iter_5scen_4dev_test_1547628,dev694,development,scenario_44,all_links,177,143633.6936759784,2.5555349787514468,1.8660199209848969,6.242550806364378,27.199114537306937,0.3231499100741657,1.2698590575464996,13.562697234085526,2.9351961594119973,1.2651295816457988,178
8iter_5scen_4dev_test_1547628,dev694,development,scenario_44,used_links,58,143633.6936759784,2.5369807587461874,1.862242705081183,6.528965854928601,18.60236509029527,0.9861643807435745,2.2145620537449155,13.562697234085526,2.9351961594119973,1.2651295816457988,178
8iter_5scen_4dev_test_1547628,dev726,development,scenario_44,all_links,177,143589.19696405053,2.55598503705589,1.8714941270274699,6.2608611238441085,27.199114537306937,0.32720193653773616,1.2907985757680769,13.785033616390791,2.9627484611367385,1.2943376949557759,178
8iter_5scen_4dev_test_1547628,dev726,development,scenario_44,used_links,58,143589.19696405053,2.538354212537334,1.8714862856462238,6.5668763617468,18.824701472600534,0.9985300477099879,2.2510740910569265,13.785033616390791,2.9627484611367385,1.2943376949557759,178
8iter_5scen_4dev_test_1547628,dev736,development,scenario_44,all_links,177,143393.07486629183,2.5550085479502616,1.8692062690093885,6.2524989941131945,27.199114537306937,0.3265362740813782,1.2775167288407343,13.643639942282327,2.945721143225473,1.2815956066863736,178
8iter_5scen_4dev_test_1547628,dev736,development,scenario_44,used_links,58,143393.07486629183,2.5353742371632593,1.8656308570795357,6.542861014389157,18.68330779849207,0.9964986295242058,2.2279446387658197,13.643639942282327,2.945721143225473,1.2815956066863736,178
8iter_5scen_4dev_test_1547628,dev73,development,scenario_44,all_links,177,144608.77504271123,2.558675389346026,1.8714941270274699,6.262254357282906,27.199114537306937,0.330783468131352,1.2950951528608057,13.832497157685953,2.9608958133302483,1.2964581555016577,178
8iter_5scen_4dev_test_1547628,dev73,development,scenario_44,used_links,58,144608.77504271118,2.546564425560679,1.8733748725884523,6.57466037277943,18.872165013895696,1.0094598941249882,2.258570960002084,13.832497157685953,2.9608958133302483,1.2964581555016577,178
8iter_5scen_4dev_test_1547628,dev750,development,scenario_44,all_links,177,146106.04122905442,2.573026104506706,1.8835782319907803,6.267780477730903,27.199114537306937,0.3356915383736146,1.3121710978206245,14.01421936597622,2.985357501904968,1.3090912951766427,178
8iter_5scen_4dev_test_1547628,dev750,development,scenario_44,used_links,58,146106.04122905445,2.5903588494130982,1.898907701198974,6.605534870431446,19.053887222185963,1.0244379705539615,2.2883065374151195,14.01421936597622,2.985357501904968,1.3090912951766427,178
8iter_5scen_4dev_test_1547628,dev755,development,scenario_44,all_links,177,143780.94149360212,2.56000567985407,1.8714941270274699,6.252020183661285,27.199114537306937,0.3260549080506963,1.2771492215382119,13.639804239594174,2.9467800724540147,1.276360317371715,178
8iter_5scen_4dev_test_1547628,dev755,development,scenario_44,used_links,58,143780.9414936021,2.5506241052145353,1.8908976603614016,6.542192234532096,18.679472095803916,0.9950296331891938,2.2273005293316834,13.639804239594174,2.9467800724540147,1.276360317371715,178
8iter_5scen_4dev_test_1547628,dev759,development,scenario_44,all_links,177,147342.63995388406,2.593133125738693,1.8936794080644177,6.27851029606673,27.199114537306937,0.3430951094671177,1.3452544846728474,14.366890002789496,3.0274461441000495,1.3453659305681944,178
8iter_5scen_4dev_test_1547628,dev759,development,scenario_44,used_links,58,147342.63995388412,2.6517199314486457,1.9057920188168356,6.665482487233052,19.40655785899924,1.0470316271668936,2.346042764259117,14.366890002789496,3.0274461441000495,1.3453659305681944,178
8iter_5scen_4dev_test_1547628,dev761,development,scenario_44,all_links,177,143292.7452535133,2.5509269599846185,1.8642166002076765,6.236920607300988,27.199114537306937,0.3235296919407575,1.2655163734277006,13.516321163951336,2.9282101066688835,1.2643946526903873,178
8iter_5scen_4dev_test_1547628,dev761,development,scenario_44,used_links,58,143292.7452535133,2.5229183566474185,1.860326788959007,6.521101858414284,18.55598902016108,0.9873233702330012,2.2069881498789172,13.516321163951336,2.9282101066688835,1.2643946526903873,178
8iter_5scen_4dev_test_1547628,dev764,development,scenario_44,all_links,177,143763.83398030227,2.574270519638685,1.8714941270274699,6.253566925684618,27.199114537306937,0.325435017602033,1.2783655828235623,13.654174610326116,2.95632014957993,1.2766581684507878,178
8iter_5scen_4dev_test_1547628,dev764,development,scenario_44,used_links,58,143763.83398030224,2.5941564611089665,1.884572820421265,6.544352650841199,18.69384246653586,0.9931378985441354,2.229381250680667,13.654174610326116,2.95632014957993,1.2766581684507878,178
8iter_5scen_4dev_test_1547628,dev767,development,scenario_44,all_links,177,143392.57256779005,2.550901354428962,1.865218440759441,6.240048482167991,27.199114537306937,0.324429455922487,1.267922656082166,13.541579016625622,2.9313360408009905,1.2680583118782223,178
8iter_5scen_4dev_test_1547628,dev767,development,scenario_44,used_links,58,143392.57256779008,2.522840215555155,1.8613925508756632,6.525470726508358,18.581246872835365,0.9900692016944861,2.2111958560862504,13.541579016625622,2.9313360408009905,1.2680583118782223,178
8iter_5scen_4dev_test_1547628,dev770,development,scenario_44,all_links,177,143432.93354041473,2.550498378646741,1.866790906023062,6.244957920669609,27.199114537306937,0.32534299351391827,1.2717151454356008,13.582642895095496,2.93728854734696,1.273354975146471,178
8iter_5scen_4dev_test_1547628,dev770,development,scenario_44,used_links,58,143432.93354041473,2.5216104446335486,1.8630620636236959,6.532327998663267,18.62231075130524,0.9928570664131643,2.217800172350851,13.582642895095496,2.93728854734696,1.273354975146471,178
8iter_5scen_4dev_test_1547628,dev775,development,scenario_44,all_links,177,145895.21388711347,2.583442650898061,1.8855459835814898,6.2693163710260595,27.199114537306937,0.3365047951085231,1.3168942416495253,14.063905417771302,2.994279997133775,1.317463775153616,178
8iter_5scen_4dev_test_1547628,dev775,development,scenario_44,used_links,58,145895.21388711347,2.6221472754694757,1.899955980503732,6.614115923700425,19.103573273981045,1.026919805762217,2.296571046740617,14.063905417771302,2.994279997133775,1.317463775153616,178
8iter_5scen_4dev_test_1547628,dev776,development,scenario_44,all_links,177,143684.2400812949,2.5587796795489113,1.8714941270274699,6.262942575941526,27.199114537306937,0.3282450536006449,1.297218766721929,13.853490324164675,2.9724188277048467,1.3020781928222251,178
8iter_5scen_4dev_test_1547628,dev776,development,scenario_44,used_links,58,143684.24008129488,2.546882690490175,1.87431953280227,6.578505458234879,18.893158180374417,1.0017133532295541,2.262274205234084,13.853490324164675,2.9724188277048467,1.3020781928222251,178
8iter_5scen_4dev_test_1547628,dev780,development,scenario_44,all_links,177,143892.91264731658,2.555604850882636,1.8714941270274699,6.2449371947142405,27.199114537306937,0.32639794805591854,1.2717283695064983,13.584035529791059,2.9371115888688935,1.2716592149933783,178
8iter_5scen_4dev_test_1547628,dev780,development,scenario_44,used_links,58,143892.91264731658,2.5371939892155067,1.9102586915225759,6.532299049626309,18.623703386000802,0.9960764966534067,2.2177722912063804,13.584035529791059,2.9371115888688935,1.2716592149933783,178
8iter_5scen_4dev_test_1547628,dev789,development,scenario_44,all_links,177,145663.426231534,2.5766398034746083,1.8803691027616494,6.265275649332042,27.199114537306937,0.33356344473428906,1.304429197263227,13.932179549519141,2.984499943608736,1.3010303282150326,178
8iter_5scen_4dev_test_1547628,dev789,development,scenario_44,used_links,58,145663.42623153405,2.601386861780663,1.8970854994753696,6.5915403657428335,18.971847405728884,1.0179436158270545,2.2748282718829786,13.932179549519141,2.984499943608736,1.3010303282150326,178
8iter_5scen_4dev_test_1547628,dev791,development,scenario_44,all_links,177,144229.48585417622,2.5637271629667913,1.8714941270274699,6.258102509452099,27.199114537306937,0.3280131263592841,1.2822939000491327,13.695761153619525,2.951705390136473,1.2814007250094313,178
8iter_5scen_4dev_test_1547628,dev791,development,scenario_44,used_links,58,144229.48585417625,2.561981045058532,1.8919607036721593,6.551463951834561,18.735429009829268,1.00100557526885,2.236230224988813,13.695761153619525,2.951705390136473,1.2814007250094313,178
8iter_5scen_4dev_test_1547628,dev809,development,scenario_44,all_links,177,144265.0666963759,2.5640240899457423,1.8714941270274699,6.258212799803451,27.199114537306937,0.32812041894949967,1.2826342590026572,13.699393004159084,2.952251398434539,1.2816120185993596,178
8iter_5scen_4dev_test_1547628,dev809,development,scenario_44,used_links,58,144265.06669637587,2.5628871842874,1.8920313544143994,6.552080145279117,18.739060860368827,1.0013330026562317,2.2368236878551064,13.699393004159084,2.952251398434539,1.2816120185993596,178
8iter_5scen_4dev_test_1547628,dev810,development,scenario_44,all_links,177,143580.48072084095,2.5678734033452715,1.8690382874851752,6.251974534221066,27.199114537306937,0.32387283733407773,1.277133134442874,13.64083116625141,2.9547022983530926,1.2748179585111636,178
8iter_5scen_4dev_test_1547628,dev810,development,scenario_44,used_links,58,143580.48072084098,2.574634226903205,1.8654487878325887,6.542128473546966,18.680499022461152,0.9883705553126163,2.2272391204067308,13.64083116625141,2.9547022983530926,1.2748179585111636,178
8iter_5scen_4dev_test_1547628,dev811,development,scenario_44,all_links,177,143541.73773741178,2.54986819570272,1.8690465839171737,6.25200043674726,27.199114537306937,0.32639074383009015,1.2771309285697188,13.63965314839903,2.9426414527025457,1.2795385691448955,178
8iter_5scen_4dev_test_1547628,dev811,development,scenario_44,used_links,58,143541.73773741178,2.519687300131968,1.8654590610076682,6.542164652973912,18.679321004608774,0.9960545113435512,2.227273965221465,13.63965314839903,2.9426414527025457,1.2795385691448955,178
8iter_5scen_4dev_test_1547628,dev813,development,scenario_44,all_links,177,142942.71511116868,2.5633926730672876,1.860511645926967,6.225353264216689,27.199114537306937,0.3197828035002515,1.256600515959506,13.421463409757447,2.940145578960889,1.2519937083056702,178
8iter_5scen_4dev_test_1547628,dev813,development,scenario_44,used_links,58,142942.71511116865,2.5609602741583237,1.8563914281863487,6.504945139145448,18.46113126596719,0.9758889003369744,2.1914274310625648,13.421463409757447,2.940145578960889,1.2519937083056702,178
8iter_5scen_4dev_test_1547628,dev822,development,scenario_44,all_links,177,143857.71442430737,2.55732795268875,1.8714941270274699,6.257029857631613,27.199114537306937,0.327407345729038,1.2810392159652735,13.682384302518642,2.9476514491034527,1.282551667075277,178
8iter_5scen_4dev_test_1547628,dev822,development,scenario_44,used_links,58,143857.71442430737,2.5424524205893366,1.8916999236758205,6.5491895108622895,18.722052158728385,0.9991568998972367,2.2340396851988324,13.682384302518642,2.9476514491034527,1.282551667075277,178
8iter_5scen_4dev_test_1547628,dev831,development,scenario_44,all_links,177,143599.43666996737,2.558457203834632,1.8714941270274699,6.261157380850893,27.199114537306937,0.3276084383038071,1.2917135955505237,13.794872706722785,2.9649409889725513,1.295972467213305,178
8iter_5scen_4dev_test_1547628,dev831,development,scenario_44,used_links,58,143599.43666996737,2.5458985835690116,1.8718894922267415,6.568531553005555,18.834540562932528,0.9997705789616181,2.252668224453453,13.794872706722785,2.9649409889725513,1.295972467213305,178
